Timeline,Start time,Duration,Row,Instance number, ,25 Build Up,Attack,BB,BS,BS Outcome - Direct Ball Win DUKE,BS Outcome - Direct Ball Win Duke,BS Outcome - Direct Ball Win SJU,BS Outcome - Direct Ball Win STJoe,BS Outcome - Direct turnover DUKE,BS Outcome - Direct turnover Duke,BS Outcome - Direct turnover SJU,BS Outcome - Direct turnover STJoe,BS Outcome - In Direct Ball Win DUKE,BS Outcome - In Direct Ball Win Duke,BS Outcome - In Direct Ball Win SJU,BS Outcome - In Direct Ball Win STJoe,BS Outcome - In Direct turnover DUKE,BS Outcome - In Direct turnover Duke,BS Outcome - In Direct turnover SJU,BS Outcome - In Direct turnover STJoe,BS Outcome - New BS DUKE,BS Outcome - New BS Duke,BS Outcome - New BS SJU,BS Outcome - New BS STJoe,Ball Start,Build Zone,Circle Entry,Circle Zone,From Zone DUKE,From Zone Duke,From Zone SJU,From Zone STJoe,Goal Type,Neutral,Outcome +,Outcome -,Outcome Neutral,Presses,Scouting,Set Piece,Shoot Out,Shoot Out Score,Shoot Outs,Start Type Black,Start Type DUKE,Start Type Duke,Start Type Rutgers,Start Type SJU,Start Type STJoe,To Zone Black,To Zone DUKE,To Zone Duke,To Zone Rutgers,To Zone SJU,To Zone STJoe,Ungrouped,Notes,Flags
270822 SJU v Duke (Control Boat),2500.743039330328,4.009530744995573,STJoe,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),2512.4187654143216,36.587796572009665,STJoe,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),2556.9985247273316,3.851687404009226,STJoe,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),2655.457447640328,20.394289028011826,STJoe,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),2696.8581738919925,6.869350982325614,STJoe,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),2728.1292842386656,32.683758787994066,STJoe,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),2791.2935244819882,5.2006525246656565,STJoe,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),2809.9161707530006,2.5423395556636024,STJoe,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),2837.2411843513228,7.978338357009761,STJoe,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),2858.2401450943407,6.4386138716513415,STJoe,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),2890.296586951334,10.390733080329483,STJoe,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),2906.284957573998,9.415445016331432,STJoe,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270822 SJU v Duke (Control Boat),2918.0454453056655,5.075271582337791,STJoe,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
