Timeline,Start time,Duration,Row,Instance number, ,25 Build Up,Attack,BS,BS Outcome - Direct Ball Win DUKE,BS Outcome - Direct Ball Win JMU,BS Outcome - Direct turnover DUKE,BS Outcome - Direct turnover JMU,BS Outcome - In Direct Ball Win DUKE,BS Outcome - In Direct Ball Win JMU,BS Outcome - In Direct turnover DUKE,BS Outcome - In Direct turnover JMU,BS Outcome - New BS DUKE,BS Outcome - New BS JMU,Ball Start,Circle Entry,From Zone DUKE,From Zone JMU,Goal Type,Outcome +,Outcome -,Outcome Neutral,Presses,Scouting,Set Piece,Shoot Out,Shoot Out Score,Shoot Outs,Start Type DUKE,Start Type JMU,To Zone DUKE,To Zone JMU,Ungrouped,Notes,Flags
Duke vs JMU,4996.278659144667,5.6702363226659145,DMid JMU,73,,,,,,,,,TOW AMid DUKE,,,TO DMid JMU,,,,,,,,,"Ball Out, Turnover",,,,,,,,,,,To DMid JMU,", , , , Home Game, DUKE 1 - 4  JMU, Q4, DUKE 11v11 JMU, Start Interception, Regular Season, Out of Conf",,
Duke vs JMU,5106.976040337332,12.670936787000755,DMid JMU,74,,,,,,,,,,,,,,NewBS DMid JMU,BS 2,,,,,,,Sideline,,,,,,,,,,To DMid JMU,", , , Home Game, Q4, BW2 JMU, DUKE 11v11 JMU, DUKE 1 - 4  JMU, Start DMid JMU, BS2 JMU, Regular Season, Out of Conf",,
Duke vs JMU,5127.267323875999,13.918940888999714,DMid JMU,75,,,,,,,,,,,,,,,,,,From AMid JMU,,,,,,,,,,,,,,To DMid JMU,", Home Game, DUKE 1 - 4  JMU, Q4, DUKE 11v11 JMU, Start AMid JMU, BS3 JMU, Regular Season, Out of Conf",,
Duke vs JMU,5187.973645649998,5.037062550334667,DMid JMU,76,,,,,,,,,,,,,,,,,,From AMid JMU,,,,,,,,,,,,,,To DMid JMU,", Home Game, Q4, DUKE 1 - 4  JMU, DUKE 11v11 JMU, Start AMid JMU, BS3 JMU, Regular Season, Out of Conf",,
Duke vs JMU,5448.413593598333,9.69336691933222,DMid JMU,77,,,,,BW AMid DUKE,,,BL DMid JMU,,,,,,,,,From AMid DUKE,,,,"Interception, Turnover",,,,,,,,,,,To DMid JMU,", , , Home Game, DUKE 1 - 4  JMU, Q4, DUKE 11v11 JMU, Start Interception, BW2 JMU, Start DMid JMU, Regular Season, Out of Conf",,
Duke vs JMU,5462.866334576666,3.436979972998415,DMid JMU,78,,,,,,BW DMid JMU,BL AMid DUKE,,,,,,,,,,From AMid DUKE,,,,"Duel Lost, Turnover",,,,,,,,,,,To DMid JMU,", , , Out of Conf, Home Game, Q4, Regular Season",,
Duke vs JMU,5677.455036845332,9.434026177666055,DMid JMU,79,,,,,,,,,,,,,,,BS,,,,,,,,,,,,,,,,,To DMid JMU,", , Home Game, Q4, DUKE 2 - 4  JMU, DUKE 11v11 JMU, BW2 JMU, Start DMid JMU, BS2 JMU, Regular Season, Out of Conf",,
Duke vs JMU,5704.738683980666,7.730528781332396,DMid JMU,80,,,,,BW AMid DUKE,,,BL DMid JMU,,,,,,,BS 2,,From DMid DUKE,,,,"Interception, Turnover",,,,,,,,,,,To DMid JMU,", , , Home Game, Q4, DUKE 2 - 4  JMU, DUKE 11v11 JMU, BW2 JMU, Start DMid JMU, BS2 JMU, Regular Season, Out of Conf",,
Duke vs JMU,5793.727771831666,12.335304629998973,DMid JMU,81,,,,,,,,,,,,,,NewBS DMid JMU,,,,From D25 JMU,,,,Sideline,,,,,,,,,,To DMid JMU,", , Home Game, DUKE 2 - 4  JMU, Q4, DUKE 10v11 JMU, Start D25 JMU, BS1 JMU, Regular Season, Out of Conf",,
Duke vs JMU,5811.1922656786655,5.862865125332064,DMid JMU,82,,,,,,,,,,,,,,,BS 2,,,,,,,,,,,,,,,,,To DMid JMU,", , Home Game, Q4, DUKE 2 - 4  JMU, DUKE 10v11 JMU, BW2 JMU, Start DMid JMU, BS2 JMU, Regular Season, Out of Conf",,
Duke vs JMU,254.05700018433146,9.74064461300128,D25 JMU,1,,,,,BW A25 DUKE,,,BL D25 JMU,,,,,,,BS 1,,From A25 DUKE,,,,"Interception, Turnover",,,,,,,,,,,To D25 JMU,", , , Home Game, Q1, DUKE 0 - 0  JMU, DUKE 11v11 JMU, BW1 JMU, Start D25 JMU, BS1 JMU, Regular Season, Out of Conf",,
Duke vs JMU,274.7387029893319,3.4145717430004083,D25 JMU,2,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,To D25 JMU,", DUKE 11v11 JMU, Out of Conf, Home Game, Q1, Regular Season, DUKE 0 - 0  JMU",,
Duke vs JMU,285.414407452666,4.632273273332316,D25 JMU,3,,,,,,,,,,,,,,,,,,From DMid JMU,,,,,,,,,,,,,,To D25 JMU,", Home Game, Q1, DUKE 0 - 0  JMU, DUKE 11v11 JMU, Start DMid JMU, BS2 JMU, Regular Season, Out of Conf",,
Duke vs JMU,290.93535898799865,4.4343503606671675,D25 JMU,4,,,,,,,,,,,,,,,,,,From D25 JMU,,,,,,,,,,,,,,To D25 JMU,", Home Game, Q1, DUKE 0 - 0  JMU, DUKE 11v11 JMU, Start DMid JMU, BS2 JMU, Regular Season, Out of Conf",,
Duke vs JMU,351.52487602766547,8.54324244433468,D25 JMU,5,,,,,,,,,,,,,,,BS 1,,,,,,,,,,,,,,,,,To D25 JMU,", , Home Game, Q1, DUKE 0 - 0  JMU, DUKE 11v11 JMU, BW1 JMU, Start D25 JMU, BS1 JMU, Regular Season, Out of Conf",,
Duke vs JMU,418.30187731099807,3.528542891001848,D25 JMU,6,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,To D25 JMU,", Home Game, DUKE 0 - 0  JMU, Q1, DUKE 11v11 JMU, Start Interception, Regular Season, Out of Conf",,
Duke vs JMU,423.60468811466734,8.568154723999271,D25 JMU,7,,,,,BW A25 DUKE,,,BL D25 JMU,,,,,,,,,,From DMid JMU,,,"Interception, Turnover",,,,,,,,,,,To D25 JMU,", , , Home Game, Q1, BW1 JMU, DUKE 0 - 0  JMU, DUKE 11v11 JMU, Start D25 JMU, Regular Season, Out of Conf",,
Duke vs JMU,446.9875388413326,4.7606004096662105,D25 JMU,8,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,Free Hit,,,,,,,,,,To D25 JMU,", , , Home Game, DUKE 0 - 0  JMU, Q1, DUKE 11v11 JMU, Start Interception, Regular Season, Out of Conf",,
Duke vs JMU,450.2654342226663,5.084610136667038,D25 JMU,9,,,,,,,,,,,,,,,BS 1,,,,,,,,,,,,,,,,,To D25 JMU,", , Home Game, Q1, DUKE 0 - 0  JMU, DUKE 11v11 JMU, BW1 JMU, Start D25 JMU, BS1 JMU, Regular Season, Out of Conf",,
Duke vs JMU,490.60459568033195,6.207091919334346,D25 JMU,10,,,,,,,,,,,,,,,,,,From DMid JMU,,,,,,,,,,,,,,To D25 JMU,", Home Game, Q1, DUKE 0 - 0  JMU, DUKE 11v11 JMU, Start DMid JMU, BS2 JMU, Regular Season, Out of Conf",,
Duke vs JMU,773.300157394665,3.411374163669052,D25 JMU,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 JMU,", , Home Game, DUKE 0 - 0  JMU, Q1, DUKE 11v11 JMU, Start Interception, Regular Season, Out of Conf",,
Duke vs JMU,817.1656319629977,9.418942697335979,D25 JMU,12,,,,,,,,,,,,,,NewBS D25 JMU,BS 1,,,,,,,Sideline,,,,,,,,,,To D25 JMU,", , , Home Game, Q1, DUKE 0 - 0  JMU, DUKE 11v11 JMU, BW1 JMU, Start D25 JMU, BS1 JMU, Regular Season, Out of Conf",,
Duke vs JMU,830.0996028566666,4.480619078331415,D25 JMU,13,,,,,,,,,,,,,,,BS 1,,,,,,,,,,,,,,,,,To D25 JMU,", , Home Game, Q1, DUKE 0 - 0  JMU, DUKE 11v11 JMU, BW1 JMU, Start D25 JMU, BS1 JMU, Regular Season, Out of Conf",,
Duke vs JMU,851.8514883943332,5.1403386516656155,D25 JMU,14,,,,,,,,,,,,,,,BS 1,,,,,,,,,,,,,,,,,To D25 JMU,", , Home Game, Q1, DUKE 0 - 0  JMU, DUKE 11v11 JMU, BW1 JMU, Start D25 JMU, BS1 JMU, Regular Season, Out of Conf",,
Duke vs JMU,1068.4954749803312,3.4314637070017397,D25 JMU,15,,,,,,,,,,,,,,,,,,From DMid JMU,,,,,,,,,,,,,,To D25 JMU,", Home Game, Q1, DUKE 0 - 0  JMU, DUKE 11v11 JMU, Start DMid JMU, BS2 JMU, Regular Season, Out of Conf",,
Duke vs JMU,1266.286795401333,10.411546294000118,D25 JMU,16,,,,,,,,,TOW A25 DUKE,,,TO D25 JMU,,,BS 1,,From DMid DUKE,,,,"Turnover, Foul Against",,,,,,,,,,,To D25 JMU,", , , Home Game, Q2, DUKE 0 - 0  JMU, DUKE 11v11 JMU, BW1 JMU, Start D25 JMU, BS1 JMU, Regular Season, Out of Conf",,
Duke vs JMU,1310.3691140339995,5.736438888333851,D25 JMU,17,,,,,,,,,,,,,,,BS 1,,,,,,,,,,,,,,,,,To D25 JMU,", , Home Game, Q2, DUKE 0 - 0  JMU, DUKE 11v11 JMU, BW1 JMU, Start D25 JMU, BS1 JMU, Regular Season, Out of Conf",,
Duke vs JMU,1407.2597641593336,3.7032270393324325,D25 JMU,18,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,To D25 JMU,", Home Game, DUKE 0 - 0  JMU, Q2, DUKE 11v11 JMU, Start Interception, Regular Season, Out of Conf",,
Duke vs JMU,1480.5570381439993,5.736430677666476,D25 JMU,19,,,,,BW A25 DUKE,,,BL D25 JMU,,,,,,,,,From A25 DUKE,,,,"Interception, Turnover",,,,,,,,,,,To D25 JMU,", , , Home Game, Q2, DUKE 0 - 0  JMU, DUKE 11v11 JMU, Start D25 JMU, Regular Season, Out of Conf",,
Duke vs JMU,1489.7831607356654,3.386263211333926,D25 JMU,20,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,To D25 JMU,", DUKE 11v11 JMU, Out of Conf, Home Game, Q2, Regular Season, DUKE 0 - 0  JMU",,
Duke vs JMU,1503.9774076203337,4.051250952332111,D25 JMU,21,,,,,,,,,,,,,,,,,,From DMid JMU,,,,,,,,,,,,,,To D25 JMU,", Home Game, Q2, DUKE 0 - 0  JMU, DUKE 11v11 JMU, Start DMid JMU, BS2 JMU, Regular Season, Out of Conf",,
Duke vs JMU,1552.896761343333,8.77990496499956,D25 JMU,22,,,,,,,,,TOW A25 DUKE,,,TO D25 JMU,,,,,From AMid DUKE,,,,"Ball Out, Turnover",,,,,,,,,,,To D25 JMU,", , , Home Game, DUKE 0 - 0  JMU, Q2, DUKE 11v11 JMU, Start Interception, BW1 JMU, Start D25 JMU, Regular Season, Out of Conf",,
Duke vs JMU,1573.4311736023315,8.212350909667975,D25 JMU,23,,,,,,,,,,,,,,,BS 1,,,,,,,,,,,,,,,,,To D25 JMU,", , Home Game, Q2, DUKE 0 - 0  JMU, DUKE 11v11 JMU, BW1 JMU, Start D25 JMU, BS1 JMU, Regular Season, Out of Conf",,
Duke vs JMU,1649.7308539043313,12.86062364600184,D25 JMU,24,,,,,,,,,,,,,,,BS,,,,,,,,,,,,,,,,,To D25 JMU,", , Home Game, DUKE 0 - 0  JMU, Q2, DUKE 11v11 JMU, BW1 JMU, Start D25 JMU, BS1 JMU, Regular Season, Out of Conf",,
Duke vs JMU,1713.3477268030001,15.528544980333663,D25 JMU,25,,,,,,,,,,,,,,,,,,From DMid JMU,,,,,,,,,,,,,,To D25 JMU,", Home Game, Q2, DUKE 0 - 0  JMU, DUKE 11v11 JMU, Start DMid JMU, BS2 JMU, Regular Season, Out of Conf",,
Duke vs JMU,1740.8272487853324,5.191184010666802,D25 JMU,26,,,,,,,,,,,,,,,,,,From DMid JMU,,,,,,,,,,,,,,To D25 JMU,", Home Game, Q2, DUKE 0 - 0  JMU, DUKE 11v11 JMU, Start DMid JMU, BS2 JMU, Regular Season, Out of Conf",,
Duke vs JMU,2052.004036951666,6.938008588333105,D25 JMU,27,,,,,BW A25 DUKE,,,BL D25 JMU,,,,,,,,,,From DMid JMU,,,"Interception, Turnover",,,,,,,,,,,To D25 JMU,", , , Home Game, Q2, DUKE 0 - 1  JMU, DUKE 11v10 JMU, Start DMid JMU, BS2 JMU, Regular Season, Out of Conf",,
Duke vs JMU,2124.8420694293327,14.971616577666282,D25 JMU,28,,,,,,,,,,,,,,,BS 1,,,,,,,,,,,,,,,,,To D25 JMU,", , Home Game, Q2, DUKE 0 - 1  JMU, DUKE 10v11 JMU, BW1 JMU, Start D25 JMU, BS1 JMU, Regular Season, Out of Conf",,
Duke vs JMU,2241.469702280666,9.243706540665244,D25 JMU,29,,,,,,,,,,,,,,,BS 1,,,,,,,,,,,,,,,,,To D25 JMU,", , Home Game, Q2, DUKE 0 - 1  JMU, DUKE 11v11 JMU, BW1 JMU, Start D25 JMU, BS1 JMU, Regular Season, Out of Conf",,
Duke vs JMU,2268.000953003332,6.9845906896671295,D25 JMU,30,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,To D25 JMU,", Home Game, DUKE 0 - 1  JMU, Q2, DUKE 11v11 JMU, Start Interception, Regular Season, Out of Conf",,
Duke vs JMU,3225.012519541667,6.6215028476663065,D25 JMU,31,,,,,,,,,,,,,,,,,,From DMid JMU,,,,,,,,,,,,,,To D25 JMU,", Home Game, Q3, DUKE 0 - 2  JMU, BW2 JMU, DUKE 11v11 JMU, Start DMid JMU, BS2 JMU, Regular Season, Out of Conf",,
Duke vs JMU,3280.119948511333,5.343637413664965,D25 JMU,32,,,,,BW A25 DUKE,,,BL D25 JMU,,,,,,,BS,,From A25 DUKE,,,,"Interception, Turnover",,,,,,,,,,,To D25 JMU,", , , Regular Season, DUKE 0 - 2  JMU, Q3, Home Game, Out of Conf, DUKE 11v11 JMU",,
Duke vs JMU,3323.214944777665,6.550696120333669,D25 JMU,33,,,,,BW A25 DUKE,,,BL D25 JMU,,,,,,,BS 1,,,,,,"Interception, Turnover",,,,,,,,,,,To D25 JMU,", , , , Home Game, Q3, DUKE 0 - 2  JMU, DUKE 11v11 JMU, BW1 JMU, Start D25 JMU, BS1 JMU, Regular Season, Out of Conf",,
Duke vs JMU,3384.202474422666,6.168683234000127,D25 JMU,34,,,,,BW A25 DUKE,,,BL D25 JMU,,,,,,,,,From A25 DUKE,,,,"Duel Lost, Turnover",,,,,,,,,,,To D25 JMU,", , , Home Game, DUKE 0 - 2  JMU, Q3, DUKE 11v11 JMU, Start Interception, Start A25 DUKE, BS4 DUKE, Regular Season, Out of Conf",,
Duke vs JMU,3402.4083469256652,7.716228397999203,D25 JMU,35,,,,,,,,,,,,,,,BS 1,,,,,,,,,,,,,,,,,To D25 JMU,", , Home Game, Q3, DUKE 0 - 2  JMU, DUKE 11v11 JMU, BW1 JMU, Start D25 JMU, BS1 JMU, Regular Season, Out of Conf",,
Duke vs JMU,3421.7981410513316,5.041746186668206,D25 JMU,36,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,To D25 JMU,", DUKE 11v11 JMU, Out of Conf, Home Game, Q3, Regular Season, DUKE 0 - 2  JMU",,
Duke vs JMU,3726.347775220333,5.536250268999993,D25 JMU,37,,,,,BW A25 DUKE,,,BL D25 JMU,,,,,,,,,,,,,"Interception, Turnover",,,,,,,,,,,To D25 JMU,", , , , Home Game, DUKE 0 - 3  JMU, Q3, DUKE 11v11 JMU, Start Interception, Start D25 JMU, Regular Season, Out of Conf",,
Duke vs JMU,3762.2939172413335,6.183948326998689,D25 JMU,38,,,,,,,,,TOW A25 DUKE,,,TO D25 JMU,,,,,From AMid DUKE,,,,"Turnover, Foul Against",,,,,,,,,,,To D25 JMU,", , , Home Game, DUKE 0 - 3  JMU, Q3, DUKE 11v11 JMU, Start Interception, Start DMid JMU, Regular Season, Out of Conf",,
Duke vs JMU,3807.279242096665,5.465894825001669,D25 JMU,39,,,,,BW A25 DUKE,,,BL D25 JMU,,,,,,,BS 1,,,,,,"Interception, Turnover",,,,,,,,,,,To D25 JMU,", , , , Home Game, Q3, DUKE 0 - 3  JMU, DUKE 11v11 JMU, BW1 JMU, Start D25 JMU, BS1 JMU, Regular Season, Out of Conf",,
Duke vs JMU,3852.408837630666,11.390603971332894,D25 JMU,40,,,,,BW A25 DUKE,,,BL D25 JMU,,,,,,,BS,,,,,,"Duel Lost, Turnover",,,,,,,,,,,To D25 JMU,", , , , Home Game, Q3, DUKE 0 - 3  JMU, DUKE 11v11 JMU, BW1 JMU, Start D25 JMU, BS1 JMU, Regular Season, Out of Conf",,
Duke vs JMU,3881.958935530333,7.286548021333601,D25 JMU,41,,,,,,,,,,,,,,,BS,,,,,,,,,,,,,,,,,To D25 JMU,", , Home Game, Q3, DUKE 0 - 3  JMU, DUKE 11v11 JMU, BW1 JMU, Start D25 JMU, BS1 JMU, Regular Season, Out of Conf",,
Duke vs JMU,3918.4740871393315,5.483942471335467,D25 JMU,42,,,,,BW A25 DUKE,,,BL D25 JMU,,,,,,,,,From A25 DUKE,,,,"Duel Lost, Turnover",,,,,,,,,,,To D25 JMU,", , , Home Game, DUKE 0 - 3  JMU, Q3, DUKE 11v11 JMU, Start Interception, BW1 JMU, Start D25 JMU, Regular Season, Out of Conf",,
Duke vs JMU,3929.9162368360003,7.197473338333566,D25 JMU,43,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,Free Hit,,,,,,,,,,To D25 JMU,", , , Home Game, DUKE 0 - 3  JMU, Q3, DUKE 11v11 JMU, Start Interception, Regular Season, Out of Conf",,
Duke vs JMU,3949.7182438589984,6.634370542666147,D25 JMU,44,,,,,,,,,,,,,,,,,,From DMid JMU,,,,,,,,,,,,,,To D25 JMU,", Home Game, Q3, DUKE 0 - 3  JMU, DUKE 11v11 JMU, Start DMid JMU, BS2 JMU, Regular Season, Out of Conf",,
Duke vs JMU,3966.0348604936653,3.2865107066672863,D25 JMU,45,,,,,,,,,,,,,,,,,,From DMid JMU,,,,,,,,,,,,,,To D25 JMU,", Home Game, Q3, DUKE 0 - 3  JMU, BW2 JMU, DUKE 11v11 JMU, Start DMid JMU, BS2 JMU, Regular Season, Out of Conf",,
Duke vs JMU,3992.5645841406654,6.571267692001129,D25 JMU,46,,,,,BW A25 DUKE,,,BL D25 JMU,,,,,,,BS 1,,From AMid DUKE,,,,"Interception, Turnover",,,,,,,,,,,To D25 JMU,", , , Home Game, Q3, DUKE 0 - 3  JMU, DUKE 11v11 JMU, BW1 JMU, Start D25 JMU, BS1 JMU, Regular Season, Out of Conf",,
Duke vs JMU,4086.169455760666,5.784141183333759,D25 JMU,47,,,,,,,,,,,,,,,BS 1,,,,,,,,,,,,,,,,,To D25 JMU,", , Home Game, Q3, DUKE 0 - 3  JMU, DUKE 11v11 JMU, BW1 JMU, Start D25 JMU, BS1 JMU, Regular Season, Out of Conf",,
Duke vs JMU,4342.902133229999,3.964038033333054,D25 JMU,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 JMU,", , DUKE 11v11 JMU, Out of Conf, Home Game, Q4, Regular Season, DUKE 0 - 3  JMU",,
Duke vs JMU,4965.986640116666,5.246433372667525,D25 JMU,49,,,,,,,,,,,,,,,BS 1,,,,,,,,,,,,,,,,,To D25 JMU,", , Home Game, Q4, DUKE 1 - 4  JMU, DUKE 11v11 JMU, BW1 JMU, Start D25 JMU, BS1 JMU, Regular Season, Out of Conf",,
Duke vs JMU,5064.959424472332,9.779147060334253,D25 JMU,50,,,,,,,,,TOW A25 DUKE,,,TO D25 JMU,,,BS,,,,,,"Turnover, Foul Against",,,,,,,,,,,To D25 JMU,", , , , Home Game, DUKE 1 - 4  JMU, Q4, DUKE 11v11 JMU, BW1 JMU, Start D25 JMU, BS1 JMU, Regular Season, Out of Conf",,
Duke vs JMU,5097.731377550331,5.324360029667332,D25 JMU,51,,,,,,,,,TOW A25 DUKE,,,TO D25 JMU,,,,,From A25 DUKE,,,,"Turnover, Foul Against",,,,,,,,,,,To D25 JMU,", , , Home Game, DUKE 1 - 4  JMU, Q4, DUKE 11v11 JMU, Start Interception, Regular Season, Out of Conf",,
Duke vs JMU,5371.625116166665,12.272505230000206,D25 JMU,52,,,,,BW A25 DUKE,,,BL D25 JMU,,,,,,,BS,,,,,,"Duel Lost, Turnover",,,,,,,,,,,To D25 JMU,", , , , Home Game, Q4, DUKE 1 - 4  JMU, DUKE 11v11 JMU, BW1 JMU, Start D25 JMU, BS1 JMU, Regular Season, Out of Conf",,
Duke vs JMU,5416.401084715332,7.250326342998051,D25 JMU,53,,,,,,,,,TOW A25 DUKE,,,TO D25 JMU,,,BS 1,,,,,,"Ball Out, Turnover",,,,,,,,,,,To D25 JMU,", , , , Home Game, Q4, DUKE 1 - 4  JMU, DUKE 11v11 JMU, BW1 JMU, Start D25 JMU, BS1 JMU, Regular Season, Out of Conf",,
Duke vs JMU,5597.326697787333,7.713362212000902,D25 JMU,54,,,,,,,,,TOW A25 DUKE,,,TO D25 JMU,,,BS,,,,,,"Ball Out, Turnover",,,,,,,,,,,To D25 JMU,", , , , Q4, DUKE 1 - 4  JMU, Home Game, DUKE 11v11 JMU, Start D25 JMU, BS1 JMU, Regular Season, Out of Conf",,
Duke vs JMU,5619.053458772998,3.9082381426678694,D25 JMU,55,,,,,,,,,,TOW D25 JMU,TO A25 DUKE,,,,,,From A25 DUKE,,,,"Ball Out, Turnover",,,,,,,,,,,To D25 JMU,", , , Out of Conf, Home Game, Regular Season",,
Duke vs JMU,5770.536474724666,10.898054309334839,D25 JMU,56,,,,,,,,,,,,,,"NewBS D25 JMU, NewBS D25 JMU",,,From A25 DUKE,,,,,"Free Hit, Free Hit",,,,,,,,,,To D25 JMU,", , , Home Game, DUKE 2 - 4  JMU, Q4, DUKE 10v11 JMU, Start Interception, BW1 JMU, Start A25 DUKE, BS4 DUKE, Regular Season, Out of Conf",,
Duke vs JMU,5780.074485034665,7.817228665003313,D25 JMU,57,,,,,,,,,,,,,,NewBS D25 JMU,BS,,,From D25 JMU,,,,Free Hit,,,,,,,,,,To D25 JMU,", , Q4, DUKE 2 - 4  JMU, BW1 JMU, Home Game, DUKE 10v11 JMU, Start D25 JMU, BS1 JMU, Regular Season, Out of Conf",,
Duke vs JMU,5787.934823101999,7.792948729666932,D25 JMU,58,,,,,,,,,,,,,,,BS 1,,,,,,,,,,,,,,,,,To D25 JMU,", , Home Game, Q4, DUKE 2 - 4  JMU, DUKE 10v11 JMU, BW1 JMU, Start D25 JMU, BS1 JMU, Regular Season, Out of Conf",,
Duke vs JMU,147.47877450433222,10.681490386668457,AMid JMU,1,,,,,BW DMid DUKE,,,BL AMid JMU,,,,,,,BS 3,,,,,,"Interception, Turnover",,,,,,,,,,,To AMid JMU,", , , , Home Game, Q1, DUKE 0 - 0  JMU, DUKE 11v11 JMU, BW3 JMU, Start AMid JMU, BS3 JMU, Regular Season, Out of Conf",,
Duke vs JMU,298.31029926733305,4.134832598666037,AMid JMU,2,,,,,BW AMid DUKE,,,BL DMid JMU,,,,,,,,,,From DMid JMU,,,"Duel Lost, Turnover",,,,,,,,,,,To AMid JMU,", , , Home Game, Q1, DUKE 0 - 0  JMU, DUKE 11v11 JMU, Start DMid JMU, BS2 JMU, Regular Season, Out of Conf",,
Duke vs JMU,309.2184423813321,3.577426495333725,AMid JMU,3,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,To AMid JMU,", Home Game, DUKE 0 - 0  JMU, Q1, DUKE 11v11 JMU, Start Interception, Regular Season, Out of Conf",,
Duke vs JMU,324.48743006366584,4.156612240999266,AMid JMU,4,,,,,,,,,,,,,,,,,,From A25 JMU,,,,,,,,,,,,,,To AMid JMU,", Home Game, Q1, DUKE 0 - 0  JMU, DUKE 11v11 JMU, Start A25 JMU, BS4 JMU, Regular Season, Out of Conf",,
Duke vs JMU,334.5881513139996,4.157810030665814,AMid JMU,5,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,To AMid JMU,", Home Game, DUKE 0 - 0  JMU, Q1, DUKE 11v11 JMU, Start Interception, Regular Season, Out of Conf",,
Duke vs JMU,369.223368189333,5.8401496076666035,AMid JMU,6,,,,,,,,,,,,,,,,,,From DMid JMU,,,,,,,,,,,,,,To AMid JMU,", Home Game, Q1, DUKE 0 - 0  JMU, DUKE 11v11 JMU, Start DMid JMU, BS2 JMU, Regular Season, Out of Conf",,
Duke vs JMU,504.7720181020003,7.5841818756659904,AMid JMU,7,,,,,,,,,,,,,,,,,,From DMid JMU,,,,,,,,,,,,,,To AMid JMU,", Home Game, Q1, DUKE 0 - 0  JMU, DUKE 11v11 JMU, Start DMid JMU, BS2 JMU, Regular Season, Out of Conf",,
Duke vs JMU,532.8401193073331,7.525304114999585,AMid JMU,8,,,,,,,,,,,,,,,,,,From A25 JMU,,,,,,,,,,,,,,To AMid JMU,", Home Game, Q1, BW4 JMU, DUKE 0 - 0  JMU, DUKE 11v11 JMU, Start A25 JMU, Regular Season, Out of Conf",,
Duke vs JMU,563.7485974803327,3.6117924416661253,AMid JMU,9,,,,,,,,,,,,,,,,,,From A25 JMU,,,,,,,,,,,,,,To AMid JMU,", Home Game, Q1, DUKE 0 - 0  JMU, DUKE 11v11 JMU, Start A25 JMU, BS4 JMU, Regular Season, Out of Conf",,
Duke vs JMU,566.6197786283332,11.761764718667678,AMid JMU,10,,,,,,,,,,,,,,NewBS AMid JMU,,,,From AMid JMU,,,,Free Hit,,,,,,,,,,To AMid JMU,", , Home Game, Q1, DUKE 0 - 0  JMU, DUKE 11v11 JMU, Start A25 JMU, BS4 JMU, Regular Season, Out of Conf",,
Duke vs JMU,592.3840148906655,3.2219027773338667,AMid JMU,11,,,,,,,,,,,,,,,,,,From A25 JMU,,,,,,,,,,,,,,To AMid JMU,", DUKE 11v11 JMU, DUKE 0 - 0  JMU, Q1, BS4 JMU, Start A25 JMU, BW4 JMU",,
Duke vs JMU,627.5027647663328,8.658971593666934,AMid JMU,12,,,,,BW DMid DUKE,,,BL AMid JMU,,,,,,,BS 3,,,,,,"Interception, Turnover",,,,,,,,,,,To AMid JMU,", , , , Home Game, Q1, DUKE 0 - 0  JMU, DUKE 11v11 JMU, BW3 JMU, Start AMid JMU, BS3 JMU, Regular Season, Out of Conf",,
Duke vs JMU,639.9915971703318,9.475737116334585,AMid JMU,13,,,,,BW DMid DUKE,,,BL AMid JMU,,,,,,,,,From DMid DUKE,,,,"Interception, Turnover",,,,,,,,,,,To AMid JMU,", , , Home Game, Q1, DUKE 0 - 0  JMU, DUKE 11v11 JMU, BW3 JMU, Start AMid JMU, Regular Season, Out of Conf",,
Duke vs JMU,654.5295598163323,9.810479138999995,AMid JMU,14, ,,,,,,,,TOW DMid DUKE,,,TO AMid JMU,,,BS,Middle,From DMid DUKE,"From AMid JMU, From AMid JMU",,"CE JMU, CE JMU","ACE-0 JMU, Turnover, Foul Against",,,,,,,,,,To Circle JMU,To AMid JMU,", , , , , Q1, DUKE 0 - 0  JMU, Home Game, DUKE 11v11 JMU, BW3 JMU, Start AMid JMU, BS3 JMU, Regular Season, Out of Conf",,
Duke vs JMU,776.7512293239992,6.512180409667735,AMid JMU,15,,,,,,,,,,,,,,,,,,From D25 JMU,,,,,,,,,,,,,,To AMid JMU,", Home Game, Q1, BW1 JMU, DUKE 0 - 0  JMU, DUKE 11v11 JMU, Start D25 JMU, Regular Season, Out of Conf",,
