Timeline,Start time,Duration,Row,Instance number, ,25 Build Up,Attack,BB,BS,BS Outcome - Direct Ball Win DUKE,BS Outcome - Direct Ball Win Duke,BS Outcome - Direct Ball Win RUTG,BS Outcome - Direct Ball Win Rutgers,BS Outcome - Direct turnover DUKE,BS Outcome - Direct turnover Duke,BS Outcome - Direct turnover RUTG,BS Outcome - Direct turnover Rutgers,BS Outcome - In Direct Ball Win DUKE,BS Outcome - In Direct Ball Win Duke,BS Outcome - In Direct Ball Win RUTG,BS Outcome - In Direct Ball Win Rutgers,BS Outcome - In Direct turnover DUKE,BS Outcome - In Direct turnover Duke,BS Outcome - In Direct turnover RUTG,BS Outcome - In Direct turnover Rutgers,BS Outcome - New BS DUKE,BS Outcome - New BS Duke,BS Outcome - New BS RUTG,BS Outcome - New BS Rutgers,Ball Position,Ball Start,Build Zone,Circle Entry,Circle Zone,Eliminations,From Zone DUKE,From Zone Duke,From Zone RUTG,From Zone Rutgers,Goal Type,Neutral,Outcome +,Outcome -,Outcome Neutral,Presses,Result,Scouting,Set Piece,Shoot Out,Shoot Out Score,Shoot Outs,Shot Selection,Start Type DUKE,Start Type Duke,Start Type RUTG,Start Type Rutgers,Target,To Zone DUKE,To Zone Duke,To Zone RUTG,To Zone Rutgers,Ungrouped,Notes,Flags
260822 Rutgers v Duke,6191.502737876998,32.293856349000635,BS2 DUKE,9,,,,,,,,,,,,,,,,TOW RUTG D25,,TO DUKE A25,,,,,,,,,BS 2,,,,,"From DUKE DMid, From DUKE AMid",,,,,,,"Turnover, Foul Against",,,,,,,,,,,,,,,"To AMid DUKE, To A25 DUKE",,,,"Home Game, Q5, RUTG 1 - DUKE 1, VC Game 1, BH, Start (Re)Start DUKE, BS2 DUKE, Regular Season, Out of Conf",,
260822 Rutgers v Duke,6435.898140134998,22.57352759800051,BS2 DUKE,10,,,,,,,,BW RUTG D25,,BL DUKE A25,,,,,,,,,,,,,,,,,BS 2,,,,,"From DUKE DMid, From DUKE AMid",,,,,,,"Turnover, Duel Lost",,,,,,,,,,,,,,,"To AMid DUKE, To A25 DUKE",,,,"Home Game, Q5, BW1 DUKE, VC Game 1, RUTG 1 - DUKE 1, BH, BS2 DUKE, Start DUKE D25, Regular Season, Out of Conf",,
260822 Rutgers v Duke,6533.4959122539985,6.771228288000202,BS2 DUKE,11,,,,,,,,BW RUTG D25,,BL DUKE A25,,,,,,,,,,,,,,,,,BS 2,,,,,From DUKE AMid,,,,,,,"Interception, Turnover",,,,,,,,,,,,,,,To A25 DUKE,,,,"Home Game, Q5, BW2 DUKE, VC Game 1, RUTG 1 - DUKE 1, BH, Start DUKE DMid, BS2 DUKE, Regular Season, Out of Conf",,
260822 Rutgers v Duke,6883.3941754539965,28.233543830002418,BS2 DUKE,12,,,,,,,,BW RUTG D25,,BL DUKE A25,,,,,,,,,,,,NewBS DUKE A25,,,,,"BS 2, BS 3",Right,,,,"From DUKE AMid, From DUKE DMid, From DUKE AMid, From DUKE A25, From DUKE A25",,,,,,"CE DUKE, CE DUKE, CE DUKE, CE DUKE","ACE-0 DUKE, Turnover, Duel Lost",Free Hit,,,,,,,,,,,,,,"To DMid DUKE, To AMid DUKE, To A25 DUKE",,"To Circle DUKE, To Circle DUKE",,"Home Game, Q5, BW3 DUKE, VC Game 1, RUTG 1 - DUKE 1, BH, Start DUKE AMid, BS2 DUKE, Regular Season, Out of Conf",,
260822 Rutgers v Duke,7396.380253744997,42.33820262300287,BS2 DUKE,13,,,,,,,,,,,,,,,,,,,,,,NewBS DUKE A25,,,,,"BS 2, BS 3",,,,,"From DUKE AMid, From DUKE DMid, From DUKE AMid",,,,,,,,Long Corner,,,,,,,,,,,,,,"To DMid DUKE, To AMid DUKE, To A25 DUKE",,,,"Home Game, RUTG 1 - DUKE 1, Q6, VC Game 1, BW2 DUKE, BH, Start DUKE DMid, BS2 DUKE, Regular Season, Out of Conf",,
260822 Rutgers v Duke,7548.397349154998,27.700343718998738,BS2 DUKE,14,,,,,,,,BW RUTG D25,,BL DUKE A25,,,,,,,,,,,,,,,,,BS 2,Left,,,,"From DUKE DMid, From DUKE AMid, From DUKE DMid, From DUKE AMid, From DUKE A25, From DUKE A25",,,,,,"Circle Pass DUKE, CE DUKE, CE DUKE","Turnover, Duel Lost",,,,,,,,,,,,,,,"To AMid DUKE, To DMid DUKE, To AMid DUKE, To A25 DUKE",,To Circle DUKE,,"Home Game, Q6, BW1 DUKE, VC Game 1, RUTG 1 - DUKE 1, Start DUKE D25, BH, BS2 DUKE, Regular Season, Out of Conf",,
260822 Rutgers v Duke,7633.997263056998,16.318670643001497,BS2 DUKE,15,,,,,,,,,,,,,,,,,,,,,,NewBS DUKE A25,,,,,BS 2,Left,,"LBL, LBL",,"From DUKE AMid, From DUKE A25, From DUKE A25, From DUKE A25, From DUKE A25",,,,,,"CE DUKE, CE DUKE, CE DUKE, CE DUKE, CE DUKE, CE DUKE, CE DUKE, CE DUKE",ACE-0 DUKE,Long Corner,,,,,,,,,,,,,,To A25 DUKE,,"To Circle DUKE, To Circle DUKE, To Circle DUKE, To Circle DUKE",,"Home Game, Q6, BW2 DUKE, VC Game 1, RUTG 1 - DUKE 1, BH, BS2 DUKE, Start DUKE DMid, Regular Season, Out of Conf",,
260822 Rutgers v Duke,1747.302382152,20.449738400999422,BS1 DUKE,1,,,,,,,,BW RUTG AMid,,BL DUKE DMid,,,,,,,,,,,,,,,,,BS 1,,,,,"From DUKE DMid, From DUKE DMid",,,,,,,"Turnover, Duel Lost",,,,,,,,,,,,,,,"To D25 DUKE, To DMid DUKE",,,,"Home Game, Q2, RUTG 0 - DUKE 0, VC Game 1, BW1 DUKE, BH, Start DUKE D25, BS1 DUKE, Regular Season, Out of Conf",,
260822 Rutgers v Duke,2247.696020119,18.62082704999966,BS1 DUKE,2,,,,,,,,,,,,,,,,,,,,,,NewBS DUKE D25,,,,,BS 1,,,,,,,,,,,,,Sideline,,,,,,,,,,,,,,,,,,"Home Game, RUTG 1 - DUKE 1, Q2, VC Game 1, BW1 DUKE, BH, Start DUKE D25, BS1 DUKE, Regular Season, Out of Conf",,
260822 Rutgers v Duke,3079.3789007346663,8.269790712333815,BS1 DUKE,3,,,,,,,,BW RUTG AMid,,BL DUKE DMid,,,,,,,,,,,,,,,,,BS 1,,,,,,,,,,,,"Interception, Turnover",,,,,,,,,,,,,,,,,,,"Home Game, Q3, RUTG 1 - DUKE 1, VC Game 1, BW1 DUKE, Start DUKE D25, BH, BS1 DUKE, Regular Season, Out of Conf",,
260822 Rutgers v Duke,3829.7621240959998,27.757523554334057,BS1 DUKE,4,,,,,,,,,,,,,,,,,,,,,,NewBS DUKE AMid,,,,,BS 1,,,,,"From DUKE DMid, From DUKE D25, From DUKE DMid",,,,,,,,Sideline,,,,,,,,,,,,,,"To D25 DUKE, To DMid DUKE, To AMid DUKE",,,,"Home Game, Q3, BW1 DUKE, VC Game 1, RUTG 1 - DUKE 1, BH, BS1 DUKE, Start DUKE D25, Regular Season, Out of Conf",,
260822 Rutgers v Duke,4523.997868917999,23.744157923000785,BS1 DUKE,5,,,,,,,,BW RUTG AMid,,BL DUKE DMid,,,,,,,,,,,,,,,,,BS 1,,,,,"From DUKE D25, From DUKE DMid, From DUKE D25",,,,,,,"Turnover, Duel Lost",,,,,,,,,,,,,,,"To DMid DUKE, To D25 DUKE, To DMid DUKE",,,,"Home Game, Q4, BW1 DUKE, VC Game 1, RUTG 1 - DUKE 1, BH, BS1 DUKE, Start DUKE D25, Regular Season, Out of Conf",,
260822 Rutgers v Duke,4723.316164021998,8.781352010000774,BS1 DUKE,6,,,,,,,,BW RUTG DMid,,BL DUKE AMid,,,,,,,,,,,,,,,,,BS 1,,,,,From DUKE DMid,,,,,,,"Interception, Turnover",,,,,,,,,,,,,,,To AMid DUKE,,,,"Home Game, RUTG 1 - DUKE 1, Q4, VC Game 1, BW1 DUKE, BH, Start DUKE D25, BS1 DUKE, Regular Season, Out of Conf",,
260822 Rutgers v Duke,4932.397707372,32.88738478899995,BS1 DUKE,7,,,,,,,,BW RUTG D25,,BL DUKE A25,,,,,,,,,,,,,,,,,BS 1,,,,,"From DUKE D25, From DUKE DMid, From DUKE AMid, From DUKE A25, From DUKE AMid",,,,,,,"End Line, Turnover",,,,,,,,,,,,,,,"To DMid DUKE, To AMid DUKE, To A25 DUKE, To AMid DUKE, To A25 DUKE",,,,"Home Game, Q4, BW1 DUKE, VC Game 1, RUTG 1 - DUKE 1, BH, BS1 DUKE, Start DUKE D25, Regular Season, Out of Conf",,
260822 Rutgers v Duke,5465.996100164,8.31382781999946,BS1 DUKE,8,,,,,,,,,,,,,,,,,,,,,,NewBS DUKE DMid,,,,,BS 1,,,,,,,,,,,,,Sideline,,,,,,,,,,,,,,,,,,"Home Game, Q4, BW1 DUKE, VC Game 1, RUTG 1 - DUKE 1, BH, BS1 DUKE, Start DUKE D25, Regular Season, Out of Conf",,
260822 Rutgers v Duke,5583.189918822998,4.875864511001055,BS1 DUKE,9,,,,,,,,BW RUTG A25,,BL DUKE D25,,,,,,,,,,,,,,,,,BS 1,,,,,,,,,,,,"Interception, Turnover",,,,,,,,,,,,,,,,,,,"Home Game, Q4, BW1 DUKE, VC Game 1, RUTG 1 - DUKE 1, BH, Start DUKE D25, BS1 DUKE, Regular Season, Out of Conf",,
260822 Rutgers v Duke,7330.698310709,32.048739905999355,BS1 DUKE,10,,,,,,,,,,,,,,,,,,,,,,NewBS DUKE A25,,,,,BS 1,,,,,"From DUKE DMid, From DUKE D25, From DUKE DMid, From DUKE D25, From DUKE DMid, From DUKE AMid",,,,,,,,Free Hit,,,,,,,,,,,,,,"To D25 DUKE, To DMid DUKE, To D25 DUKE, To DMid DUKE, To AMid DUKE, To A25 DUKE",,,,"Home Game, Q6, BW1 DUKE, VC Game 1, RUTG 1 - DUKE 1, BH, BS1 DUKE, Start DUKE D25, Regular Season, Out of Conf",,
260822 Rutgers v Duke,7908.996130061002,14.90420298099616,BS1 DUKE,11,,,,,,,,,,,,,,,,,,,,,,,,,,,BS 1,,,,,From DUKE D25,,,,,,,,,,,,,,,,,,,,,,To DMid DUKE,,,,"Home Game, Q6, BW1 DUKE, VC Game 1, RUTG 1 - DUKE 1, Start DUKE D25, BH, BS1 DUKE, Regular Season, Out of Conf",,
260822 Rutgers v Duke,1303.3615487343334,12.78146317733308,(Re)Start DUKE,1,,,,,(Re)Start,,,,,,,,,,,TOW RUTG DMid,,TO DUKE AMid,,,,,,,,,,,,,,From,,,,,,,"Turnover, Ball Out",,,,,,,,,,,,,,,To AMid DUKE,,,,"Home Game, RUTG 0 - DUKE 0, Q2, VC Game 1, BH, Start (Re)Start DUKE, Regular Season, Out of Conf",,
260822 Rutgers v Duke,1995.9034579233335,26.531958657999667,(Re)Start DUKE,2,,,,,(Re)Start,,,BW RUTG AMid,,BL DUKE DMid,,,,,,,,,,,,,,,,,,,,,,From,,,,,,,"Interception, Turnover",,,,,,,,,,,,,,,To DMid DUKE,,,,"Home Game, RUTG 1 - DUKE 1, Q2, VC Game 1, BH, Start (Re)Start DUKE, Regular Season, Out of Conf",,
