Timeline,Start time,Duration,Row,Instance number, ,25 Build Up,Attack,BS,BS Outcome - Direct Ball Win DUKE,BS Outcome - Direct Ball Win UVA,BS Outcome - Direct turnover DUKE,BS Outcome - Direct turnover UVA,BS Outcome - In Direct Ball Win DUKE,BS Outcome - In Direct Ball Win UVA,BS Outcome - In Direct turnover DUKE,BS Outcome - In Direct turnover UVA,BS Outcome - New BS DUKE,BS Outcome - New BS UVA,Ball Start,Circle Entry,From Zone DUKE,From Zone UVA,Goal Type,Outcome +,Outcome -,Outcome Neutral,Presses,Scouting,Set Piece,Shoot Out,Shoot Out Score,Shoot Outs,Start Type DUKE,Start Type UVA,Start Type UofL,To Zone DUKE,To Zone UVA,To Zone UofL,Ungrouped,Notes,Flags
Duke vs UVA,5221.195954708666,6.823477971666762,BB UVA,79,,,,,BW A25 DUKE,,,BL D25 UVA,,,,,,,BS 1,,,From D25 UVA,,,"Turnover, Duel Lost",,,,,,,,,,,,"To D25 UVA, To DMid UVA",,", , , , , Home Game, Q4, DUKE 2 - 3  UVA, DUKE 11v11 UVA, Start D25 UVA, BS1 UVA, Regular Season, In Conf",,
Duke vs UVA,5238.084909504999,8.180703211333821,BB UVA,80,,,,,BW A25 DUKE,,,BL D25 UVA,,,,,,,BS 1,,,From D25 UVA,,,"Turnover, Duel Lost",,,,,,,,,,,,"To D25 UVA, To DMid UVA",,", , , , , Home Game, Q4, DUKE 2 - 3  UVA, DUKE 11v11 UVA, Start D25 UVA, BS1 UVA, Regular Season, In Conf",,
Duke vs UVA,5270.5383721729995,20.584705237333765,BB UVA,81,,,,,,,,,,,,,,NewBS DMid UVA,BS 2,,,"From DMid UVA, From D25 UVA",,,,Sideline,,,,,,,,,,,"To DMid UVA, To D25 UVA, To DMid UVA",,", , , , , Home Game, Q4, DUKE 2 - 3  UVA, DUKE 11v11 UVA, BW2 UVA, Start DMid UVA, BS2 UVA, Regular Season, In Conf",,
Duke vs UVA,5294.021496676332,11.753569970333956,BB UVA,82,,,,,BW AMid DUKE,,,BL DMid UVA,,,,,,,BS,,,,,,"Turnover, Interception",,,,,,,,,,,,To DMid UVA,,", , , , Home Game, DUKE 2 - 3  UVA, Q4, DUKE 11v11 UVA, BW2 UVA, Start DMid UVA, BS2 UVA, Regular Season, In Conf",,
Duke vs UVA,5398.719381148,10.635669601333575,BB UVA,83,,,,,,,,,TOW D25 DUKE,,,TO A25 UVA,,,BS 4,,,,,,"Turnover, Foul Against",,,,,,,,,,,,To A25 UVA,,", , , , Home Game, Q4, DUKE 2 - 3  UVA, DUKE 11v11 UVA, BW4 UVA, Start A25 UVA, BS4 UVA, Regular Season, In Conf",,
Duke vs UVA,5445.736236957667,19.3859215996672,BB UVA,84,,,,,,,,,,,,,,NewBS DMid UVA,BS 2,,,"From DMid UVA, From D25 UVA",,,,Free Hit,,,,,,,,,,,"To DMid UVA, To D25 UVA, To DMid UVA",,", , , , , Home Game, Q4, DUKE 2 - 3  UVA, DUKE 11v11 UVA, BW2 UVA, Start DMid UVA, BS2 UVA, Regular Season, In Conf",,
Duke vs UVA,5468.4071030703335,13.336711782665589,BB UVA,85,,,,,,,,,,,,,,NewBS DMid UVA,BS 2,,,,,,,Free Hit,,,,,,,,,,,To DMid UVA,,", , , Home Game, Q4, DUKE 2 - 3  UVA, DUKE 11v11 UVA, Start DMid UVA, BS2 UVA, Regular Season, In Conf",,
Duke vs UVA,5480.290652501999,5.432167223000761,BB UVA,86,,,,,BW AMid DUKE,,,BL DMid UVA,,,,,,,BS,,,From DMid UVA,,,"Turnover, Interception",,,,,,,,,,,,To DMid UVA,,", , , DUKE 2 - 3  UVA, In Conf, Home Game, Q4, Regular Season, DUKE 11v11 UVA",,
Duke vs UVA,5607.561487998,12.267972589666897,BB UVA,87,,,,,,,,,,,,,,NewBS D25 UVA,BS,,,,,,,Free Hit,,,,,,,,,,,To D25 UVA,,", , , Home Game, DUKE 2 - 3  UVA, Q4, DUKE 11v11 UVA, BW1 UVA, Start D25 UVA, BS1 UVA, Regular Season, In Conf",,
Duke vs UVA,149.25478895033243,6.147672423666933,BB Transition UVA,1,,,,,BW DMid DUKE,,,BL AMid UVA,,,,,,,,,From AMid DUKE,,,,"Turnover, Interception",,,,,,,,,,,,"To DMid UVA, To AMid UVA",,", , , , , Home Game, DUKE 0 - 0  UVA, Q1, DUKE 11v11 UVA, Start Interception, BW2 UVA, Start DMid UVA, Regular Season, In Conf",,
Duke vs UVA,164.46039933066666,3.9175347246670356,BB Transition UVA,2,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,Free Hit,,,,,,,,,,,To AMid UVA,,", , , DUKE 11v11 UVA, In Conf, Home Game, Q1, Regular Season, DUKE 0 - 0  UVA",,
Duke vs UVA,332.04391164433264,11.042052884000384,BB Transition UVA,3,,,,,BW AMid DUKE,,,BL DMid UVA,,,,,,,,,From D25 DUKE,From AMid UVA,,,"Turnover, Interception",,,,,,,,,,,,"To AMid UVA, To DMid UVA",,", , , , Home Game, DUKE 0 - 0  UVA, Q1, DUKE 11v11 UVA, Start Interception, BW3 UVA, Start D25 DUKE, BS1 DUKE, Regular Season, In Conf",,
Duke vs UVA,354.458547583999,12.147231082334429,BB Transition UVA,4,,,,,BW DMid DUKE,,,BL AMid UVA,,,,,,,,,From A25 DUKE,From DMid UVA,,,"Turnover, Interception",,,,,,,,,,,,"To D25 UVA, To DMid UVA, To AMid UVA",,", , , , , , Home Game, Q1, DUKE 0 - 0  UVA, DUKE 11v11 UVA, BW1 UVA, Start D25 UVA, Regular Season, In Conf",,
Duke vs UVA,421.12304395299947,8.601485313333171,BB Transition UVA,5,,,,,BW A25 DUKE,,,BL D25 UVA,,,,,,,,,From A25 DUKE,,,,"Turnover, Duel Lost",,,,,,,,,,,,To D25 UVA,,", , , Home Game, DUKE 0 - 0  UVA, Q1, DUKE 11v11 UVA, Start Interception, BW1 UVA, Start D25 UVA, Regular Season, In Conf",,
Duke vs UVA,674.0256135389998,3.1065809756662475,BB Transition UVA,6,,,,,BW A25 DUKE,,,BL D25 UVA,,,,,,,,,From A25 DUKE,,,,"Turnover, Interception",,,,,,,,,,,,To D25 UVA,,", , , Home Game, DUKE 0 - 0  UVA, Q1, DUKE 11v11 UVA, Start Interception, Regular Season, In Conf",,
Duke vs UVA,734.048638605999,7.946428781001373,BB Transition UVA,7,,,,,,,,,,,,,,NewBS DMid UVA,,,From DMid DUKE,,,,,Sideline,,,,,,,,,,,To DMid UVA,,", , Home Game, DUKE 0 - 0  UVA, Q1, DUKE 11v11 UVA, Start Interception, BW2 UVA, Start DMid UVA, Regular Season, In Conf",,
Duke vs UVA,778.843452433,11.681619815999511,BB Transition UVA,8,,,,,,,,,,,,,,NewBS A25 UVA,,,From DMid DUKE,,,,,Long Corner,,,,,,,,,,,"To AMid UVA, To A25 UVA",,", , , , Home Game, Q1, DUKE 0 - 0  UVA, DUKE 11v11 UVA, BW3 UVA, Start AMid UVA, Regular Season, In Conf",,
Duke vs UVA,847.3545159676661,9.875790096000173,BB Transition UVA,9,,,,,BW D25 DUKE,,,BL A25 UVA,,,,,,,,,From DMid DUKE,From AMid UVA,,,"End Line, Turnover",,,,,,,,,,,,"To AMid UVA, To A25 UVA",,", , , , Home Game, Q1, DUKE 0 - 0  UVA, DUKE 11v11 UVA, BW3 UVA, Start AMid UVA, Regular Season, In Conf",,
Duke vs UVA,954.7342410846663,12.030089769000142,BB Transition UVA,10, ,,,,,,,,TOW D25 DUKE,,,TO A25 UVA,,,,Middle,From DMid DUKE,"From AMid UVA, From A25 UVA",,"CE UVA, Chance UVA, Shot UVA, CE UVA","Turnover, Foul Against",,,,,,,,,,,To Circle UVA,"To AMid UVA, To A25 UVA",,", , , , , , , Home Game, DUKE 0 - 0  UVA, Q1, DUKE 11v11 UVA, Start Interception, BW3 UVA, Start AMid UVA, Regular Season, In Conf",,
Duke vs UVA,990.8415020353333,4.52025763066581,BB Transition UVA,11,,,,,BW DMid DUKE,,,BL AMid UVA,,,,,,,,,From DMid DUKE,,,,"Turnover, Duel Lost",,,,,,,,,,,,To AMid UVA,,", , , Home Game, Q1, DUKE 0 - 0  UVA, DUKE 11v11 UVA, BW3 UVA, Start AMid UVA, Regular Season, In Conf",,
Duke vs UVA,1001.6592884836664,7.349484030666872,BB Transition UVA,12,,,,,,,,,TOW A25 DUKE,,,TO D25 UVA,,,,,From AMid DUKE,,,,"Turnover, Foul Against",,,,,,,,,,,,To D25 UVA,,", , , Home Game, DUKE 0 - 0  UVA, Q1, DUKE 11v11 UVA, Start Interception, BW1 UVA, Start D25 UVA, Regular Season, In Conf",,
Duke vs UVA,1495.2680738753334,14.675814884999454,BB Transition UVA,13,,,,,,,,,,,,,,NewBS AMid UVA,,,From DMid DUKE,From DMid UVA,,,,Free Hit,,,,,,,,,,,"To AMid UVA, To DMid UVA, To AMid UVA",,", , , , , Home Game, Q2, DUKE 0 - 1  UVA, DUKE 11v11 UVA, BW3 UVA, Start AMid UVA, Regular Season, In Conf",,
Duke vs UVA,2144.269337657333,10.597958743000163,BB Transition UVA,14,,,,,,,,,,,,,,NewBS D25 UVA,,,From A25 DUKE,,,,,Sideline,,,,,,,,,,,To D25 UVA,,", , Home Game, DUKE 1 - 2  UVA, Q2, DUKE 11v10 UVA, Start Interception, BW1 UVA, Start D25 UVA, Regular Season, In Conf",,
Duke vs UVA,2183.6634769963325,20.235938370334225,BB Transition UVA,15,,,,,,,,,,,,,,NewBS A25 UVA,,,From D25 DUKE,From AMid UVA,,,,Long Corner,,,,,,,,,,,"To AMid UVA, To A25 UVA",,", , , Home Game, DUKE 1 - 2  UVA, Q2, DUKE 11v10 UVA, BW3 UVA, Start D25 DUKE, BS1 DUKE, Regular Season, In Conf",,
Duke vs UVA,2469.0790877036657,5.879007642000943,BB Transition UVA,16,,,,,BW DMid DUKE,,,BL AMid UVA,,,,,,,,,From D25 DUKE,,,,"End Line, Turnover",,,,,,,,,,,,To AMid UVA,,", , , Home Game, DUKE 1 - 2  UVA, BW1 DUKE, DUKE 11v11 UVA, Q2, Start Interception, Start D25 DUKE, Regular Season, In Conf",,
Duke vs UVA,2497.091081814999,11.012204961001316,BB Transition UVA,17,,,,,,,,,,,,,,NewBS AMid UVA,,,From D25 DUKE,,,,,Free Hit,,,,,,,,,,,To AMid UVA,,", , Home Game, DUKE 1 - 2  UVA, Q2, DUKE 11v11 UVA, Start Interception, BW3 UVA, Start AMid UVA, Regular Season, In Conf",,
Duke vs UVA,3362.8861702866666,10.808168723333893,BB Transition UVA,18, ,,,,BW D25 DUKE,,,BL A25 UVA,,,,,,,,Middle,From DMid DUKE,"From AMid UVA, From AMid UVA, From A25 UVA",,"CE UVA, CE UVA","ACE-0 UVA, Turnover, Interception",,,,,,,,,,,To Circle UVA,"To AMid UVA, To A25 UVA",,", , , , , , Home Game, DUKE 1 - 3  UVA, Q3, DUKE 11v11 UVA, Start Interception, BW3 UVA, Start AMid UVA, Regular Season, In Conf",,
Duke vs UVA,3432.364631971667,14.86070032733187,BB Transition UVA,19,,,,,BW AMid DUKE,,,BL DMid UVA,,,,,,,,,From DMid DUKE,From D25 UVA,,,"Turnover, Duel Lost",,,,,,,,,,,,"To D25 UVA, To DMid UVA",,", , , , Home Game, DUKE 1 - 3  UVA, Q3, DUKE 11v11 UVA, Start Interception, BW1 UVA, Start D25 UVA, Regular Season, In Conf",,
Duke vs UVA,3481.907720401333,14.47349388733437,BB Transition UVA,20,,,,,,,,,,,,,,NewBS DMid UVA,,,From A25 DUKE,From D25 UVA,,,,Free Hit,,,,,,,,,,,"To D25 UVA, To DMid UVA",,", , , Home Game, Q3, BW1 UVA, DUKE 11v11 UVA, DUKE 1 - 3  UVA, Start D25 UVA, Regular Season, In Conf",,
Duke vs UVA,3606.601142440667,12.353840208999372,BB Transition UVA,21, ,,,,BW D25 DUKE,,,BL A25 UVA,,,,,,,,Right,From D25 DUKE,"From AMid UVA, From AMid UVA, From A25 UVA",,"CE UVA, Chance UVA, Shot UVA, CE UVA","Turnover, Duel Lost",,,,,,,,,,,To Circle UVA,"To AMid UVA, To A25 UVA",,", , , , , , Home Game, DUKE 1 - 3  UVA, Q3, DUKE 11v11 UVA, Start Interception, BW3 UVA, Start AMid UVA, Regular Season, In Conf",,
Duke vs UVA,3678.6493597399995,10.884912346999045,BB Transition UVA,22,,,,,,,,,TOW AMid DUKE,,,TO DMid UVA,,,,,From A25 DUKE,From D25 UVA,,,"Turnover, Foul Against",,,,,,,,,,,,"To D25 UVA, To DMid UVA",,", , , , Home Game, Q3, DUKE 1 - 3  UVA, DUKE 11v11 UVA, BW1 UVA, Start D25 UVA, Regular Season, In Conf",,
Duke vs UVA,3695.255156712333,4.312124396333729,BB Transition UVA,23,,,,,BW A25 DUKE,,,BL D25 UVA,,,,,,,,,From A25 DUKE,,,,"Turnover, Interception",,,,,,,,,,,,To D25 UVA,,", , , Home Game, DUKE 1 - 3  UVA, Q3, DUKE 11v11 UVA, Start Interception, Regular Season, In Conf",,
Duke vs UVA,3705.2767278873325,6.233895463331919,BB Transition UVA,24,,,,,BW AMid DUKE,,,BL DMid UVA,,,,,,,,,From AMid DUKE,,,,"Turnover, Interception",,,,,,,,,,,,To DMid UVA,,", , , Home Game, DUKE 1 - 3  UVA, Q3, DUKE 11v11 UVA, Start Interception, Regular Season, In Conf",,
Duke vs UVA,4022.1652725089994,10.931409056333905,BB Transition UVA,25, ,,,,BW D25 DUKE,,,BL A25 UVA,,,,,,,,Right,From DMid DUKE,"From AMid UVA, From A25 UVA, From A25 UVA",,"CE UVA, CE UVA","ACE-0 UVA, Turnover, Interception",,,,,,,,,,,To Circle UVA,"To AMid UVA, To A25 UVA",,", , , , , , Home Game, DUKE 2 - 3  UVA, Q3, DUKE 11v11 UVA, Start Interception, BW3 UVA, Start AMid UVA, Regular Season, In Conf",,
Duke vs UVA,4115.278942626667,10.455216642664709,BB Transition UVA,26,,,,,BW DMid DUKE,,,BL AMid UVA,,,,,,,,,From AMid DUKE,From DMid UVA,,,"Turnover, Duel Lost",,,,,,,,,,,,"To DMid UVA, To AMid UVA",,", , , , Home Game, Q3, BW2 UVA, DUKE 11v10 UVA, DUKE 2 - 3  UVA, Start DMid UVA, Regular Season, In Conf",,
Duke vs UVA,4178.271653337667,9.422564696000336,BB Transition UVA,27,,,,,,,,,,,,,,NewBS AMid UVA,,,From DMid DUKE,From DMid UVA,,,,Sideline,,,,,,,,,,,"To DMid UVA, To AMid UVA",,", , , Home Game, DUKE 2 - 3  UVA, Q3, DUKE 11v11 UVA, Start Interception, BW2 UVA, Start DMid UVA, Regular Season, In Conf",,
Duke vs UVA,4270.102396324332,10.580181156668914,BB Transition UVA,28,,,,,,,,,,,,,,NewBS AMid UVA,,,From DMid DUKE,,,,,Free Hit,,,,,,,,,,,To AMid UVA,,", , Home Game, Q3, DUKE 2 - 3  UVA, DUKE 11v11 UVA, Start Interception, BW3 UVA, Start DMid DUKE, BS2 DUKE, Regular Season, In Conf",,
Duke vs UVA,4397.990183814666,14.245008943666107,BB Transition UVA,29,,,,,,,,,,,,,,NewBS A25 UVA,,,From DMid DUKE,From DMid UVA,,,,Free Hit,,,,,,,,,,,"To DMid UVA, To AMid UVA, To A25 UVA",,", , , , , Home Game, DUKE 2 - 3  UVA, Q3, DUKE 11v11 UVA, Start Interception, BW2 UVA, Start DMid UVA, Regular Season, In Conf",,
Duke vs UVA,4798.8263888933325,43.34005303133381,BB Transition UVA,30,,,,,BW DMid DUKE,,,BL AMid UVA,,,,,,,,,From AMid DUKE,"From DMid UVA, From DMid UVA, From DMid UVA",,,"Turnover, Duel Lost",,,,,,,,,,,,"To DMid UVA, To D25 UVA, To DMid UVA, To AMid UVA",,", , , , , , Home Game, Q4, BW2 UVA, DUKE 11v11 UVA, DUKE 2 - 3  UVA, Start DMid UVA, Regular Season, In Conf",,
Duke vs UVA,4848.605711005665,28.82091776100151,BB Transition UVA,31,,,,,,,,,TOW DMid DUKE,,,TO AMid UVA,,,,,From AMid DUKE,"From DMid UVA, From DMid UVA, From DMid UVA",,,"Turnover, Ball Out",,,,,,,,,,,,"To DMid UVA, To AMid UVA, To DMid UVA, To AMid UVA",,", , , , , , Home Game, Q4, DUKE 2 - 3  UVA, DUKE 11v11 UVA, BW2 UVA, Start DMid UVA, Regular Season, In Conf",,
Duke vs UVA,4890.907289148,20.75768811166654,BB Transition UVA,32,,,,,,,,,,,,,,NewBS A25 UVA,,,From D25 DUKE,"From AMid UVA, From A25 UVA, From A25 UVA",,,,Long Corner,,,,,,,,,,,"To AMid UVA, To A25 UVA, To AMid UVA, To A25 UVA",,", , , , , Home Game, DUKE 2 - 3  UVA, Q4, DUKE 11v11 UVA, Start Interception, BW3 UVA, Start DMid DUKE, BS2 DUKE, Regular Season, In Conf",,
Duke vs UVA,4963.163613069665,7.542771510668899,BB Transition UVA,33,,,,,BW AMid DUKE,,,BL DMid UVA,,,,,,,,,From DMid DUKE,From DMid UVA,,,"Turnover, Duel Lost",,,,,,,,,,,,"To DMid UVA, To AMid UVA",,", , , , Home Game, DUKE 2 - 3  UVA, Q4, DUKE 11v11 UVA, Start Interception, BW2 UVA, Start DMid UVA, Regular Season, In Conf",,
Duke vs UVA,5036.428417005332,19.583676401999583,BB Transition UVA,34, ,,,,BW D25 DUKE,,,BL A25 UVA,,,,,,,,Left,From DMid DUKE,"From DMid UVA, From DMid UVA, From A25 UVA, From A25 UVA, From A25 UVA",,"CE UVA, CE UVA, CE UVA, CE UVA","ACE-0 UVA, ACE-0 UVA, Turnover, Interception",,,,,,,,,,,"To Circle UVA, To Circle UVA","To DMid UVA, To AMid UVA, To A25 UVA",,", , , , , , , , Home Game, DUKE 2 - 3  UVA, Q4, DUKE 11v11 UVA, Start Interception, Start DMid UVA, Regular Season, In Conf",,
Duke vs UVA,5121.719712650999,14.038534050000635,BB Transition UVA,35,,,,,,,,,,,,,,NewBS DMid UVA,,,From DMid DUKE,"From DMid UVA, From DMid UVA",,,,Free Hit,,,,,,,,,,,"To DMid UVA, To D25 UVA, To DMid UVA",,", , , , Home Game, DUKE 2 - 3  UVA, Q4, DUKE 11v11 UVA, Start Interception, BW2 UVA, Start DMid UVA, Regular Season, In Conf",,
Duke vs UVA,5216.925050618999,5.683165386666587,BB Transition UVA,36,,,,,,,,,,,,,NewBS AMid DUKE,,,,From AMid DUKE,,,,,Free Hit,,,,,,,,,,,To D25 UVA,,", , Home Game, DUKE 2 - 3  UVA, BW3 DUKE, DUKE 11v11 UVA, Q4, Start AMid DUKE, Regular Season, In Conf",,
Duke vs UVA,5248.759107904331,21.43063524966783,BB Transition UVA,37,,,,,,,,,,,,,,NewBS DMid UVA,,,From AMid DUKE,From D25 UVA,,,,Free Hit,,,,,,,,,,,"To D25 UVA, To DMid UVA",,", , , Home Game, DUKE 2 - 3  UVA, Q4, DUKE 11v11 UVA, Start Interception, BW1 UVA, Start D25 UVA, Regular Season, In Conf",,
Duke vs UVA,5308.064568673667,29.02564716699817,BB Transition UVA,38,,,,,,,,,TOW DMid DUKE,,,TO AMid UVA,,,,,From AMid DUKE,From DMid UVA,,,"Turnover, Foul Against",,,,,,,,,,,,"To DMid UVA, To AMid UVA",,", , , , Home Game, Q4, BW2 UVA, DUKE 11v11 UVA, DUKE 2 - 3  UVA, Start DMid UVA, Regular Season, In Conf",,
Duke vs UVA,5344.827898480331,52.377834828335835,BB Transition UVA,39,,,,,,,,,,,,,,NewBS A25 UVA,,,From D25 DUKE,"From AMid UVA, From DMid UVA, From DMid UVA, From DMid UVA, From AMid UVA, From DMid UVA, From AMid UVA",,,,Free Hit,,,,,,,,,,,"To AMid UVA, To DMid UVA, To AMid UVA, To DMid UVA, To AMid UVA, To DMid UVA, To AMid UVA, To A25 UVA",,", , , , , , , , , Home Game, DUKE 2 - 3  UVA, Q4, DUKE 11v11 UVA, Start Interception, Start AMid UVA, Regular Season, In Conf",,
Duke vs UVA,5431.491925904998,14.615481789002843,BB Transition UVA,40,,,,,,,,,,,,,,NewBS DMid UVA,,,From DMid DUKE,,,,,Sideline,,,,,,,,,,,To DMid UVA,,", , Q4, Home Game, DUKE 2 - 3  UVA, DUKE 11v11 UVA, Start Interception, BW2 UVA, Start DMid DUKE, BS2 DUKE, Regular Season, In Conf",,
Duke vs UVA,5489.296023757667,20.139105498999015,BB Transition UVA,41,,,,,,,,,TOW AMid DUKE,,,TO DMid UVA,,,,,From DMid DUKE,"From DMid UVA, From AMid UVA",,,"Turnover, Ball Out",,,,,,,,,,,,"To DMid UVA, To AMid UVA, To DMid UVA",,", , , , , Home Game, DUKE 2 - 3  UVA, BW2 DUKE, DUKE 11v11 UVA, Q4, Start Interception, Start DMid DUKE, Regular Season, In Conf",,
Duke vs UVA,5558.776782214332,3.987337549001495,BB Transition UVA,42,,,,,,,,,TOW A25 DUKE,,,TO D25 UVA,,,,,From A25 DUKE,,,,"Turnover, Ball Out",,,,,,,,,,,,To D25 UVA,,", , , Home Game, DUKE 2 - 3  UVA, Q4, DUKE 11v11 UVA, Start Interception, Regular Season, In Conf",,
Duke vs UVA,161.61126466966712,6.7666693856665745,BW3 UVA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DUKE 11v11 UVA,,
Duke vs UVA,330.29351253300047,12.792451995332556,BW3 UVA,2,,,,,BW AMid DUKE,,,BL DMid UVA,,,,,,,,,,From AMid UVA,,,"Turnover, Interception",,,,,,,,,,,,To DMid UVA,,", , , Home Game, DUKE 0 - 0  UVA, Q1, DUKE 11v11 UVA, BW3 UVA, Start AMid UVA, Regular Season, In Conf",,
Duke vs UVA,337.30483447166745,6.83599766233192,BW3 UVA,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DUKE 11v11 UVA, BW3 UVA",,
Duke vs UVA,776.3256125410004,14.199459707999154,BW3 UVA,4,,,,,,,,,,,,,,NewBS A25 UVA,,,,,,,,Long Corner,,,,,,,,,,,,,", Home Game, DUKE 0 - 0  UVA, Q1, DUKE 11v11 UVA, BW3 UVA, Start AMid UVA, Regular Season, In Conf",,
Duke vs UVA,844.0454651686669,13.184840894999411,BW3 UVA,5,,,,,BW D25 DUKE,,,BL A25 UVA,,,,,,,,,,From AMid UVA,,,"End Line, Turnover",,,,,,,,,,,,To A25 UVA,,", , , Home Game, DUKE 0 - 0  UVA, Q1, DUKE 11v11 UVA, BW3 UVA, Start AMid UVA, Regular Season, In Conf",,
Duke vs UVA,851.6981273356665,6.796758698999724,BW3 UVA,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DUKE 11v11 UVA, BW3 UVA",,
Duke vs UVA,954.0702757166663,12.694055137000191,BW3 UVA,7, ,,,,,,,,TOW D25 DUKE,,,TO A25 UVA,,,,Middle,,"From AMid UVA, From A25 UVA",,"CE UVA, Chance UVA, Shot UVA, CE UVA","Turnover, Foul Against",,,,,,,,,,,To Circle UVA,,,", , , , Home Game, DUKE 0 - 0  UVA, Q1, DUKE 11v11 UVA, BW3 UVA, Start AMid UVA, Regular Season, In Conf",,
Duke vs UVA,961.8396352216658,6.7999155070009465,BW3 UVA,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DUKE 11v11 UVA, BW3 UVA",,
Duke vs UVA,987.0256698716667,8.336089794332452,BW3 UVA,9,,,,,BW DMid DUKE,,,BL AMid UVA,,,,,,,,,,,,,"Turnover, Duel Lost",,,,,,,,,,,,,,", , Home Game, DUKE 0 - 0  UVA, Q1, DUKE 11v11 UVA, BW3 UVA, Start AMid UVA, Regular Season, In Conf",,
Duke vs UVA,990.2090804260006,6.258439448331615,BW3 UVA,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DUKE 11v11 UVA, BW3 UVA",,
Duke vs UVA,1492.8914516013328,17.052437158999965,BW3 UVA,11,,,,,,,,,,,,,,NewBS AMid UVA,,,,From DMid UVA,,,,Free Hit,,,,,,,,,,,To AMid UVA,,", , Home Game, DUKE 0 - 1  UVA, Q2, DUKE 11v11 UVA, BW3 UVA, Start AMid UVA, Regular Season, In Conf",,
Duke vs UVA,2182.120710762,21.778704604666927,BW3 UVA,12,,,,,,,,,,,,,,NewBS A25 UVA,,,,From AMid UVA,,,,Long Corner,,,,,,,,,,,To A25 UVA,,", , Home Game, DUKE 1 - 2  UVA, BW3 UVA, Q2, DUKE 11v10 UVA, Start AMid UVA, Regular Season, In Conf",,
Duke vs UVA,2494.0532078469996,14.050078929000847,BW3 UVA,13,,,,,,,,,,,,,,NewBS AMid UVA,,,,,,,,Free Hit,,,,,,,,,,,,,", Home Game, DUKE 1 - 2  UVA, Q2, DUKE 11v11 UVA, BW3 UVA, Start AMid UVA, Regular Season, In Conf",,
Duke vs UVA,2502.519982696667,10.166685146667078,BW3 UVA,14,,,,,,,,,,,,,,,BS 3,,,From AMid UVA,,,,,,,,,,,,,,,To AMid UVA,,", Q2, DUKE 1 - 2  UVA, Home Game, BW3 UVA, DUKE 11v11 UVA, Start AMid UVA, BS3 UVA, Regular Season, In Conf",,
Duke vs UVA,3359.1790599513342,14.515279058666238,BW3 UVA,15, ,,,,BW D25 DUKE,,,BL A25 UVA,,,,,,,,Middle,,"From AMid UVA, From AMid UVA, From A25 UVA",,"CE UVA, CE UVA","ACE-0 UVA, Turnover, Interception",,,,,,,,,,,To Circle UVA,To A25 UVA,,", , , , , Home Game, DUKE 1 - 3  UVA, Q3, DUKE 11v11 UVA, BW3 UVA, Start AMid UVA, Regular Season, In Conf",,
Duke vs UVA,3368.111284448333,6.715712642999733,BW3 UVA,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DUKE 11v11 UVA, Start AMid UVA, BW3 UVA",,
Duke vs UVA,3602.8842760056664,16.070706643999983,BW3 UVA,17, ,,,,BW D25 DUKE,,,BL A25 UVA,,,,,,,,Right,,"From AMid UVA, From AMid UVA, From A25 UVA",,"CE UVA, Chance UVA, Shot UVA, CE UVA","Turnover, Duel Lost",,,,,,,,,,,To Circle UVA,To A25 UVA,,", , , , , Home Game, DUKE 1 - 3  UVA, Q3, DUKE 11v11 UVA, BW3 UVA, Start AMid UVA, Regular Season, In Conf",,
Duke vs UVA,3613.4759604733326,7.4408822173336375,BW3 UVA,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DUKE 11v11 UVA, BW3 UVA",,
Duke vs UVA,4019.0812307003325,14.01545086500073,BW3 UVA,19, ,,,,BW D25 DUKE,,,BL A25 UVA,,,,,,,,Right,,"From AMid UVA, From A25 UVA, From A25 UVA",,"CE UVA, CE UVA","ACE-0 UVA, Turnover, Interception",,,,,,,,,,,To Circle UVA,To A25 UVA,,", , , , , Home Game, DUKE 2 - 3  UVA, Q3, DUKE 11v11 UVA, BW3 UVA, Start AMid UVA, Regular Season, In Conf",,
Duke vs UVA,4027.5799932643326,6.815248359665475,BW3 UVA,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DUKE 11v11 UVA, BW3 UVA",,
Duke vs UVA,4268.715914547333,11.966662933667976,BW3 UVA,21,,,,,,,,,,,,,,NewBS AMid UVA,,,,,,,,Free Hit,,,,,,,,,,,,,", Home Game, DUKE 2 - 3  UVA, Q3, DUKE 11v11 UVA, BW3 UVA, Start AMid UVA, Regular Season, In Conf",,
Duke vs UVA,4889.531835117334,22.133142142332872,BW3 UVA,22,,,,,,,,,,,,,,NewBS A25 UVA,,,,"From AMid UVA, From A25 UVA, From A25 UVA",,,,Long Corner,,,,,,,,,,,"To A25 UVA, To AMid UVA, To A25 UVA",,", , , , Home Game, DUKE 2 - 3  UVA, Q4, DUKE 11v11 UVA, BW3 UVA, Start AMid UVA, Regular Season, In Conf",,
