Timeline,Start time,Duration,Row,Instance number,, ,1. Teams,1st Phase,1st Runner,2. Time,25 Build Up,2nd Phase,3. Score,8. Shot/Goal Type,Actor,Attack,BB,BS,BS Outcome - Direct Ball Win DUKE,BS Outcome - Direct Ball Win Duke,BS Outcome - Direct Ball Win LONG,BS Outcome - Direct Ball Win Rutgers,BS Outcome - Direct Ball Win SJU,BS Outcome - Direct turnover DUKE,BS Outcome - Direct turnover Duke,BS Outcome - Direct turnover LONG,BS Outcome - Direct turnover Rutgers,BS Outcome - Direct turnover SJU,BS Outcome - In Direct Ball Win DUKE,BS Outcome - In Direct Ball Win Duke,BS Outcome - In Direct Ball Win LONG,BS Outcome - In Direct Ball Win Rutgers,BS Outcome - In Direct Ball Win SJU,BS Outcome - In Direct turnover DUKE,BS Outcome - In Direct turnover Duke,BS Outcome - In Direct turnover LONG,BS Outcome - In Direct turnover Rutgers,BS Outcome - In Direct turnover SJU,BS Outcome - New BS DUKE,BS Outcome - New BS Duke,BS Outcome - New BS LONG,BS Outcome - New BS Rutgers,BS Outcome - New BS SJU,Ball Position,Ball Start,Build Zone,Circle Entry,Circle Zone,Competition,Eliminations,End Pos,From Zone DUKE,From Zone Duke,From Zone LONG,From Zone Rutgers,From Zone SJU,Goal Type,Goalie,Location,Neutral,Outcome +,Outcome -,Outcome Neutral,Presses,Result,Routine,Scouting,Set Piece,Shoot Out,Shoot Out Score,Shoot Outs,Shot Selection,Special,Start Pos,Start Type DUKE,Start Type Duke,Start Type LONG,Start Type RUTG,Start Type Rutgers,Start Type SJU,Stopper,Target,To Zone DUKE,To Zone Duke,To Zone LONG,To Zone RUTG,To Zone Rutgers,To Zone SJU,Trap Fail,Trap Move,Traps,vs,Ungrouped,Notes,Flags
JMU__Duke_NC.SEP-25-2022,0.0,12.0,JMU,1,,,,Trail Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Tight,,,,,,,,,,,,,,,"Shot, Giver Tip",,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 1,,"Actor, Routine, Outcome",,
JMU__Duke_NC.SEP-25-2022,0.0,12.0,JMU,2,,,,Save,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Tight,,,,,,,,,,,,,,,L1 Tip,,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 1,,"Actor, Routine, Outcome",,
JMU__Duke_NC.SEP-25-2022,0.0,12.0,JMU,3,,,,Trail Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,"1-3 2x Line, 1-3 Tight",,,,,,,,,,,,,,,,,,,,,,,1-3,,,,,,,,,,,,,,,,,Short Push,,"Actor, Routine, Outcome",,
JMU__Duke_NC.SEP-25-2022,0.0,12.0,JMU,4,,,,Miss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 2x Line,,,,,,,,,,,,,,,Flick,,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 2,,"Actor, Routine, Outcome",,
JMU__Duke_NC.SEP-25-2022,0.0,12.0,JMU,5,,,,Fly Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,,,,,,,,,None,,,,,,,,,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 2,,"Actor, Routine, Outcome",,
JMU__Duke_NC.SEP-25-2022,0.0,12.0,JMU,6,,,,Save,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Left Option, Shot, Shot",,,,,,,,"1-3, 1-3",,,,,,,,,,,,,,,,,,,"Actor, Routine, Outcome, Actor, Routine, Outcome",,
JMU__Duke_NC.SEP-25-2022,0.0,12.0,JMU,7,,,,Goal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Tight,,,,,,,,,,,,,,,"Shot, Left Option, R1 Tip",,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 2,,"Actor, Routine, Outcome",,
JMU__Duke_NC.SEP-25-2022,0.0,12.0,JMU,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,,,,,,,,,,,,,,,,,,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 2,,"Actor, Routine, Outcome",,
JMU__Duke_NC.SEP-25-2022,0.0,12.0,JMU,9,,,,Fly Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-2,,,,,,,,None,,,,,,,"vs 3 Def, Shot",,,,,,,,1-2,,,,,,,,,,,,,,,,,Trap 2,,"Actor, Routine, Outcome",,
JMU__Duke_NC.SEP-25-2022,0.0,12.0,JMU,10,,,,Trail Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-2,,,,,,,,,,,,,,,"vs 3 Def, Shot",,,,,,,,1-2,,,,,,,,,,,,,,,,,Short Push,,"Actor, Routine, Outcome",,
JMU__Duke_NC.SEP-25-2022,0.0,12.0,JMU,11,,,,Trail Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Tight,,,,,,,,,,,,,,,"Left Option, Shot, R1 Tip",,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 2,,"Actor, Routine, Outcome",,
JMU__Duke_NC.SEP-25-2022,0.0,12.0,JMU,12,,,,Miss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Tight,,,,,,,,,,,,,,,L1 Tip,,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 1,,"Actor, Routine, Outcome",,
Duke_NC__Colgate_NY.SEP-18-2022,0.0,12.0,Colgate,0,,,,Save,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Tight,,,,,,,,,,,,,,,"Shot, L1 Tip",,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 1,,"Actor, Routine, Outcome",,
